iter	Passed	Remaining
409	4562	6566
410	4573	6554
411	4583	6541
412	4593	6529
413	4604	6517
414	4614	6504
415	4624	6492
416	4635	6480
417	4645	6467
418	4655	6455
419	4665	6443
420	4676	6430
421	4686	6418
422	4696	6406
423	4707	6394
424	4717	6382
425	4727	6369
426	4754	6379
427	4766	6369
428	4778	6359
429	4789	6349
430	4801	6338
431	4812	6327
432	4823	6315
433	4833	6303
434	4843	6291
435	4854	6279
436	4864	6267
437	4874	6255
438	4885	6242
439	4895	6230
440	4905	6218
441	4916	6206
442	4926	6194
443	4936	6181
444	4946	6169
445	4957	6157
446	4967	6145
447	4978	6133
448	4988	6122
449	4999	6109
450	5009	6097
451	5019	6085
452	5029	6073
453	5040	6061
454	5051	6050
455	5061	6038
456	5072	6027
457	5082	6015
458	5093	6003
459	5103	5991
460	5113	5979
461	5124	5966
462	5134	5955
463	5144	5943
464	5155	5931
465	5165	5919
466	5175	5907
467	5186	5895
468	5196	5883
469	5207	5872
470	5217	5860
471	5228	5848
472	5238	5836
473	5248	5824
474	5259	5812
475	5269	5801
476	5280	5789
477	5290	5777
478	5300	5765
479	5311	5753
480	5321	5741
481	5331	5729
482	5342	5718
483	5352	5706
484	5362	5694
485	5372	5682
486	5383	5670
487	5393	5658
488	5403	5647
489	5414	5635
490	5424	5623
491	5435	5611
492	5445	5599
493	5455	5588
494	5465	5576
495	5476	5564
496	5486	5552
497	5496	5541
498	5507	5529
499	5517	5517
500	5528	5505
501	5538	5494
502	5548	5482
503	5558	5470
504	5569	5459
505	5580	5448
506	5590	5436
507	5601	5424
508	5611	5413
509	5622	5401
510	5632	5389
511	5642	5378
512	5653	5366
513	5663	5354
514	5673	5343
515	5684	5331
516	5694	5319
517	5704	5308
518	5714	5296
519	5725	5284
520	5735	5272
521	5745	5261
522	5756	5249
523	5766	5238
524	5776	5226
525	5786	5214
526	5797	5203
527	5807	5191
528	5817	5179
529	5828	5168
530	5838	5156
531	5848	5145
532	5859	5133
533	5869	5122
534	5879	5110
535	5889	5098
536	5900	5087
537	5910	5075
538	5920	5064
539	5931	5052
540	5941	5040
541	5951	5029
542	5962	5017
543	5972	5006
544	5982	4994
545	5992	4983
546	6002	4971
547	6013	4959
548	6023	4948
549	6034	4937
550	6044	4925
551	6055	4914
552	6065	4902
553	6075	4891
554	6086	4880
555	6097	4868
556	6107	4857
557	6117	4846
558	6128	4834
559	6138	4823
560	6148	4811
561	6159	4800
562	6169	4788
563	6179	4777
564	6190	4765
565	6200	4754
566	6210	4743
567	6221	4731
568	6232	4720
569	6243	4709
570	6254	4699
571	6266	4688
572	6278	4678
573	6290	4668
574	6302	4658
575	6314	4648
576	6326	4637
577	6338	4627
578	6349	4616
579	6359	4605
580	6370	4594
581	6380	4582
582	6390	4571
583	6401	4559
584	6411	4548
585	6421	4537
586	6432	4525
587	6442	4514
588	6453	4502
589	6463	4491
590	6473	4480
591	6484	4468
592	6494	4457
593	6504	4446
594	6515	4434
595	6526	4423
596	6536	4412
597	6546	4401
598	6557	4389
599	6567	4378
600	6577	4366
601	6588	4355
602	6598	4344
603	6608	4332
604	6619	4321
605	6629	4310
606	6640	4299
607	6650	4287
608	6661	4276
609	6671	4265
610	6682	4254
611	6692	4242
612	6702	4231
613	6713	4220
614	6723	4209
615	6733	4197
616	6744	4186
617	6754	4175
618	6764	4163
619	6775	4152
620	6785	4141
621	6795	4129
622	6806	4118
623	6816	4107
624	6826	4095
625	6836	4084
626	6847	4073
627	6857	4062
628	6868	4050
629	6878	4039
630	6888	4028
631	6899	4017
632	6909	4006
633	6919	3994
634	6930	3983
635	6940	3972
636	6950	3960
637	6960	3949
638	6970	3938
639	6981	3926
640	6991	3915
641	7001	3904
642	7012	3893
643	7022	3882
644	7032	3870
645	7043	3859
646	7053	3848
647	7064	3837
648	7074	3826
649	7085	3815
650	7095	3803
651	7105	3792
652	7116	3781
653	7126	3770
654	7137	3759
655	7148	3748
656	7158	3737
657	7168	3725
658	7179	3714
659	7189	3703
660	7199	3692
661	7209	3681
662	7220	3670
663	7231	3659
664	7241	3647
665	7251	3636
666	7261	3625
667	7272	3614
668	7282	3603
669	7293	3592
670	7303	3581
671	7314	3570
672	7324	3558
673	7334	3547
674	7344	3536
675	7355	3525
676	7365	3514
677	7375	3502
678	7386	3491
679	7396	3480
680	7406	3469
681	7416	3458
682	7427	3447
683	7437	3436
684	7447	3424
685	7458	3413
686	7468	3402
687	7479	3391
688	7489	3380
689	7500	3369
690	7510	3358
691	7521	3347
692	7531	3336
693	7541	3325
694	7552	3314
695	7562	3303
696	7572	3292
697	7583	3281
698	7593	3269
699	7603	3258
700	7614	3247
701	7624	3236
702	7634	3225
703	7645	3214
704	7655	3203
705	7666	3192
706	7677	3181
707	7687	3170
708	7698	3159
709	7708	3148
710	7712	3135
711	7723	3123
712	7733	3112
713	7743	3101
714	7753	3090
715	7764	3079
716	7774	3068
717	7784	3057
718	7794	3046
719	7804	3035
720	7815	3024
721	7825	3013
722	7835	3001
723	7845	2990
724	7856	2979
725	7866	2968
726	7876	2957
727	7887	2946
728	7897	2935
729	7908	2924
730	7919	2914
731	7931	2903
732	7943	2893
733	7955	2882
734	7966	2872
735	7978	2861
736	7988	2850
737	7998	2839
738	8009	2828
739	8019	2817
740	8030	2806
741	8040	2795
742	8051	2784
743	8061	2773
744	8071	2762
745	8081	2751
746	8091	2740
747	8102	2729
748	8113	2718
749	8123	2707
750	8133	2696
751	8144	2685
752	8154	2674
753	8165	2664
754	8176	2653
755	8186	2642
756	8197	2631
757	8208	2620
758	8218	2609
759	8229	2598
760	8239	2587
761	8249	2576
762	8259	2565
763	8270	2554
764	8280	2543
765	8290	2532
766	8301	2521
767	8311	2510
768	8321	2499
769	8332	2488
770	8342	2477
771	8353	2466
772	8363	2455
773	8373	2444
774	8383	2433
775	8393	2422
776	8404	2411
777	8414	2400
778	8425	2390
779	8436	2379
780	8446	2368
781	8456	2357
782	8466	2346
783	8477	2335
784	8487	2324
785	8497	2313
786	8507	2302
787	8518	2291
788	8529	2280
789	8539	2269
790	8549	2259
791	8560	2248
792	8570	2237
793	8580	2226
794	8590	2215
795	8601	2204
796	8611	2193
797	8621	2182
798	8631	2171
799	8642	2160
800	8652	2149
801	8662	2138
802	8673	2127
803	8683	2116
804	8693	2105
805	8704	2095
806	8715	2084
807	8725	2073
808	8736	2062
809	8746	2051
810	8756	2040
811	8767	2029
812	8777	2018
813	8787	2008
814	8798	1997
815	8808	1986
816	8818	1975
817	8828	1964
818	8839	1953
819	8849	1942
820	8859	1931
821	8869	1920
822	8880	1909
823	8890	1898
824	8900	1888
825	8911	1877
826	8921	1866
827	8932	1855
828	8942	1844
829	8952	1833
830	8963	1822
831	8973	1811
832	8983	1801
833	8993	1790
834	9004	1779
835	9014	1768
836	9024	1757
837	9034	1746
838	9045	1735
839	9055	1724
840	9065	1713
841	9075	1703
842	9086	1692
843	9096	1681
844	9106	1670
845	9117	1659
846	9127	1648
847	9138	1637
848	9148	1627
849	9158	1616
850	9170	1605
851	9183	1595
852	9195	1584
853	9207	1574
854	9219	1563
855	9232	1553
856	9243	1542
857	9255	1531
858	9267	1521
859	9277	1510
860	9288	1499
861	9298	1488
862	9309	1477
863	9319	1466
864	9329	1456
865	9340	1445
866	9350	1434
867	9361	1423
868	9371	1412
869	9377	1401
870	9388	1390
871	9398	1379
872	9409	1368
873	9419	1357
874	9429	1347
875	9440	1336
876	9450	1325
877	9460	1314
878	9471	1303
879	9481	1292
880	9492	1282
881	9502	1271
882	9512	1260
883	9523	1249
884	9533	1238
885	9544	1228
886	9554	1217
887	9565	1206
888	9575	1195
889	9585	1184
890	9596	1173
891	9606	1163
892	9616	1152
893	9627	1141
894	9637	1130
895	9647	1119
896	9658	1109
897	9668	1098
898	9678	1087
899	9689	1076
900	9699	1065
901	9709	1054
902	9719	1044
903	9730	1033
904	9741	1022
905	9752	1011
906	9762	1001
907	9773	990
908	9783	979
909	9793	968
910	9803	957
911	9814	946
912	9824	936
913	9834	925
914	9845	914
915	9855	903
916	9866	893
917	9876	882
918	9886	871
919	9897	860
920	9907	849
921	9918	839
922	9928	828
923	9938	817
924	9949	806
925	9959	795
926	9970	785
927	9980	774
928	9991	763
929	10001	752
930	10011	742
931	10022	731
932	10032	720
933	10042	709
934	10053	698
935	10063	688
936	10073	677
937	10083	666
938	10094	655
939	10104	644
940	10114	634
941	10124	623
942	10135	612
943	10145	601
944	10156	591
945	10166	580
946	10176	569
947	10187	558
948	10197	548
949	10208	537
950	10219	526
951	10229	515
952	10240	505
953	10250	494
954	10261	483
955	10278	473
956	10288	462
957	10298	451
958	10308	440
959	10319	429
960	10329	419
961	10339	408
962	10349	397
963	10360	386
964	10370	376
965	10380	365
966	10391	354
967	10401	343
968	10412	333
969	10422	322
970	10433	311
971	10443	300
972	10454	290
973	10464	279
974	10474	268
975	10485	257
976	10495	247
977	10505	236
978	10516	225
979	10526	214
980	10537	204
981	10547	193
982	10557	182
983	10568	171
984	10578	161
985	10588	150
986	10599	139
987	10609	128
988	10619	118
989	10630	107
990	10640	96
991	10651	85
992	10661	75
993	10672	64
994	10682	53
995	10692	42
996	10703	32
997	10713	21
998	10723	10
999	10733	0
