iter	Logloss
0	0.6870130062
1	0.6806775765
2	0.6738909678
3	0.6690430522
4	0.6638521346
5	0.6581599252
6	0.6519729934
7	0.6480603028
8	0.6432999459
9	0.6370969426
10	0.6309490063
11	0.6260232552
12	0.6204525866
13	0.6156387557
14	0.6107162324
15	0.6056397557
16	0.6010683472
17	0.5965713859
18	0.5919859507
19	0.5875103197
20	0.5820068695
21	0.5775264106
22	0.5724159772
23	0.5671778511
24	0.5618293275
25	0.5561900827
26	0.5513941716
27	0.5472163108
28	0.5417341335
29	0.537063137
30	0.534108816
31	0.5298438338
32	0.5251352727
33	0.5210739515
34	0.5168707788
35	0.5131165813
36	0.5089310917
37	0.5057420525
38	0.5019158775
39	0.4979328118
40	0.4950597622
41	0.4911090255
42	0.4869701001
43	0.4838228936
44	0.4798655667
45	0.4764245662
46	0.4726099334
47	0.4687277144
48	0.4644885245
49	0.4605511088
50	0.4566659033
51	0.4531040609
52	0.4504052764
53	0.4471545103
54	0.4435006535
55	0.4406399757
56	0.4378531418
57	0.4345302211
58	0.4315337214
59	0.4281685184
60	0.4255096094
61	0.4218559252
62	0.4195189243
63	0.4166919237
64	0.4131878826
65	0.4093390858
66	0.4067852448
67	0.4041071523
68	0.4016546859
69	0.3986726988
70	0.3955162718
71	0.3927869138
72	0.3900308067
73	0.3872241359
74	0.3841348082
75	0.3810961943
76	0.3782683619
77	0.3757268323
78	0.373217386
79	0.371375185
80	0.368438524
81	0.3660882422
82	0.3635361208
83	0.3610343063
84	0.358498899
85	0.3555032933
86	0.3534968387
87	0.3508929285
88	0.3486311894
89	0.3459837431
90	0.3435923324
91	0.3402875323
92	0.3381259531
93	0.3355543242
94	0.3327983791
95	0.3296083832
96	0.3268875071
97	0.3248407315
98	0.3225552705
99	0.3198761452
100	0.3179119855
101	0.3154863547
102	0.3133079532
103	0.3107848522
104	0.3083550366
105	0.3064310678
106	0.3040948654
107	0.3020533204
108	0.3001792509
109	0.2985326789
110	0.296453221
111	0.2946109498
112	0.293122996
113	0.2914387367
114	0.2893788349
115	0.2873232809
116	0.2854472103
117	0.2833335814
118	0.2810392502
119	0.2794432968
120	0.2774673996
121	0.275029371
122	0.2735036105
123	0.2717212477
124	0.2704511954
125	0.2686777616
126	0.2664851815
127	0.2647789728
128	0.2634641393
129	0.2618516873
130	0.260313192
131	0.2579676758
132	0.2563083231
133	0.2548319575
134	0.2527433525
135	0.2510619467
136	0.2493449672
137	0.2474678907
138	0.2457112811
139	0.2440558043
140	0.2421776601
141	0.2406978962
142	0.2391544142
143	0.2377596454
144	0.2363112119
145	0.2345394871
146	0.2331833482
147	0.2317344386
148	0.2304495559
149	0.2289375691
150	0.2272812086
151	0.2256871404
152	0.2244745802
153	0.2233307685
154	0.2219552635
155	0.2206343301
156	0.2189895187
157	0.217226087
158	0.2153945369
159	0.2141308346
160	0.2128362263
161	0.2120363997
